content,score
"selalu pemeriksaan keamanan cepat, tidak ada kemajuan",1
ok,5
ok,5
bagus dapat point dari aplikasi,4
ok,5
good,5
sangat membantu,5
sangat bagus dan membantu,5
ok,4
bagus,5
"dana saya tiba2 tersedot autodebit dari aplikasi dana, saya pernah mencoba premium gratis tp saya tidak berniat untuk berlangganan, saya belum tau cara untuk membatalkan nya, dan dana saya tiba2 terpotong, mohon dikembalikan dana saya 1.167.008 , itu dana untuk lebaran :( mohon kebijakan nyaa 🙏🙏 dan non aktifkan saja premium nya",1
Sangat membantu,5
"Aplikasi yang sangat bermanfaat, keren! Semangat tim LinkedIn. Sukses selalu.",5
mw login g bisa bisa,2
payah baru instal minta update,1
sangat membantu dapat peluang kerja paruh waktu,5
saya lupa kata sandi kenapa dialihkan ke keamanan cepat sih! saya butuh linkedin loh utk kerja kerja kerja. akun udah lama gk dibuka sekalinya mau buka lupa password haha dan app nya buruk untuk penanganan sangat lambat.makaisj,1
"stuck di halaman pengecekan keamaan, padahal spek hp mumpuni. Gak rekomended bug nya.",1
"saya tidak sengaja memperpanjang linkedin premium, tolong kembalikan dana saya. saya sudah membatalkan langganan",1
Great Application 🥰🫶🏻💙,5
Linkedin top banget,5
good aplikasi loker,5
"saldo saya di dana terpotong secara tiba - tiba sebesar 2.7jt, padahal saya sama sekali tidak mendapatkan manfaat apapun dari aplikasi ini, kepada pihak pengembang mohon kembalikan saldo saya yang sudah kalian ambil",1
"gak bisa masuk daftar ke dalam, pake akun Google gak bisa, akun FB gak bisa juga hadeeeeeeeeehh bikin emosi aja",1
excelent,5
terbaik,5
"loginnya dipersulit, device saya cuma 1 (yang sekarang), disuruh login di device yang lama (yang sekarang saya pake juga), TERUS CARANYA GIMANAAAAA??? RIBETTTTT",1
saya stuck di halaman pemeriksaan keamanan doang.,1
awesome,5
"LinkedIn saya eror dan stuck di ""Mari lakukan pemeriksaan cepat"" mau hubungi CS nya juga harus login, pas login ya begitu lagiii terus bagaimana ini",1
sangat baik,5
Recommended application for both recruiter and job seeker,5
sangat baik dan bermanfaat,5
service cup sealer Tasik mendukung aplikasinya,5
aplikasi paling mantul deh the best no word word lagi,5
"sulit login, semoga cepat diperbaiki",1
good applied,5
"Aplikasi nya bagus sih buat cari kerja, tapi email nya spam banget, sudah di blokir, lapor spam, emailnya ttp masuk. akhirnya email penting buat saya tenggelam ke bawahhh !!!",1
"GA PERNAH BISA MASUK KE APKNYA, MUTER"" DOANG GA GUNA",1
susah login nya ladang mulu gmn sih,1
up to date infonya,5
"Alhamdulillah... beberapa kali saya mendapatkan pekerjaan melalui jaringan di aplikasi ini, sangat membantu banget... terimakasih LinkedIn",5
tolong dong baru aj download koq ngebag di pemeriksaan cepat aj terus terusan 🥲,1
bagus,5
"Mantab, dapat informasi berguna",5
tidak bisa login akun karena di bagian pemeriksaan keamanan cepat itu lamaa bangett,1
sangat membantu dengan kita yang masih berusaha mencari pekerjaan semoga dapat pekerjaan yang baik. aamiin,5
bisnis semakin lancar,5
"aplikasi nya tidak bisa digunakan,stuck di pemeriksaan cepat terus",1
"Ga jelas, selalu tiba tiba log out. Trus di verifikasi keamanan loadingnya gk kelar kelar, mumet pala gw",1
Bagus,5
"I cannot login into my account, why?? TULISANNYA PEMERIKSAAN KEAMANAN TERUS, PADAHAL KUOTA OKE TAPI GABISA LOGIN KENAPA WEE?",1
apk tolol,1
Link mudah di angkses,5
Good👍,5
"stuck pada halaman verfikasi, lemot",1
keamanan buruk,1
pengalaman bnyak .brpindah pekerjaan untuk kebutuhan dan kepeluan anak ..berat hidup mencari nafkah,5
Referensinya sangat membantu.,5
bagus untuk networking dan upgrade pengetahuan,5
Aplikasi yang bermanfaat,5
"Aplikasi gajelas, saya uda buat akun dan udah ngisi data"" nya profil sudah lengkap tiba"" ga sampe 3 hari mau masuk login tiba"" akunnya ilang langsung keluar dan disuruh login ulang, kemudian lakukan PEMERIKSAAN KEAMAAN CEPAT sudah dlakuin malah lemot. Alhasil gabisa login lagi. Tolong diperbaiki aplikas gajelas.",1
Pekerja Keras,5
Udah 8 tahun daftar linkedln blm satuoun dpt panggilan,3
Mantaaapp,5
bagus sekali,5
Like linkedin,4
"loadingnya lama kali 1jam belum berhasil, cape nunggu sumpah",1
"Sekedar informasi bagi yang susah untuk mendaftar saat pilih gambar,pilih gambar kodok yang poaisinya normal,kalo masih susah silahkan kunjungi website LinkedIn nya untuk mendaftar",1
Good,5
iya,5
kenapa saya tidak bisa login saya sudah lama memakai aplikasi ini ko makin hari makin jelek,1
Stuck di pemeriksaan keamanan cepat udah buat 2 akun problem nya sama,1
👍cara mudah mencari peķerjaan,5
ok,3
good jobs,5
"highly reccomended for employee, employer, job seeker, head hunter, procurement, sales, HR etc.. Many things I can get i.e. job vacancy information, general information etc",5
good,5
susah akses masuk mau pake email atau FB loading terus payah,1
Ok,5
Membantu sekali untuk informasi n interaksi dgn teman teman kita,5
Perfect,5
Terima kasih,5
Mantap,5
Use Indeed bro. Can't sign up this app for a long time.,1
"Beranda LinkedIn saya sudah bermasalah sejak 2 bulan yang lalu, dimana beranda saya tidak menampilkan informasi apapun dengan pemberitahuan terjadi masalah, bahkan tetap seperti itu meski sudah saya reset dan install ulang aplikasi.",2
Bagus,5
Can't make new account,1
"pemeriksaan cepat? ditunggu hampir setengah jam masih muter muter terus, jangan nyalahin internet saya karena internet saya lancar banget",1
susah banget buat login doang astaga,4
tidak bisa login,1
"Aplikasi nggak jelas, cuman bisa loading doang",1
"Ayo team linkedIn,segera perbaiki masalah login yang membuat frustasi ini.",1
Bagus dan sangat membantu,5
Minta tolong aplikasi lindedln tambah fitur penghemat data agar tidak boros paket data.,1
Siap,5
Tolong perbaikan karena saya buka linkedin ternyata login akun via google setelah itu ngebug (error),1
nice,5
Cara balikin uang yang sudah terpotong di akun premium gimana yaa parah dana saya terpotong 1jt rupiah hanya dalam 1 bulan,1
Mantap,5
Good,5
"akun saya dibajak 2x dalam sehari (itu yang saya tau sejauh ini), sudah saya laporkan tapi tidak ada tindakan dan kembali di hack. sangat kecewa",1
"Tidak bisa masuk,CAPTCHA pemeriksaan keamanan cepat tidak muncul",1
great,5
"akun saya tiba-tiba diambil alih seseorang.. semua pengalaman kerja saya di hapus.. dan akun nama pengguna di ganti, akun terindikasi akan di gunakan sebagai rekruiter palsu. tolong di bantu agar akun saya bisa kembali di gunakan",1
Woi admin ini kenapa susah kali loginnya verifikasi keamanan terus muncul kasih lha solusinya gimana ini ??,1
always got restricetd!!!!,1
Login dgn email hanya loading keamanan yg tak kunjung selesai,1
Blm tau fungsinya apa,2
"Aplikasi jelek, tidak bisa re-login, proses lama",1
Saya user baru. Udah daftar dan ga bisa login. Ini udah download yang ke 2 kali. Tetap aja ga bisa masuk,1
Bug GK jelas,1
"Dengan linkedln smua jadi muda bahkan terhubung ke seluruh Dunia, 👍",5
"Udah 1 bulan ga bisa login likendin, lakukan pemeriksaan cepat terus udah ganti akun masih tetep kayak gitu, tolong perbaiki!!!",1
Seruuu juga yaa...,5
Ribet login nya gbisa dftar baru pun gabisaa,1
Saya sebetulnya senang menggunakan aplikasi ini karena bisa berkoneksi dengan banyak profesional khususnya dalam mencari pekerjaan. Hanya saja agak kecewa ketika ada postingan yang berkaitan dengan pekerjaan tertentu di LinkedIn malah kena shadow ban. Saya harap tidak ada lagi kejadian serupa. #StopShadowBan,4
mantap,5
Baik,4
a FUNtastic app.,5
"Sangat memuaskan. Coba aja di link in ini kalo kami post video bisa hasilin duit, pasti lebih rajin lagi upload nya",5
"Apakah LinkedIn lagi ganguan, Mau login susah",1
Loding nya lama banget,1
👍🏼,5
Bisa memmbantu mencari info2 Loker.. 👍👍👍,5
"Selalu stuck di "" Pemeriksaan Keamanan cepat """,1
"ngw stuck di pemeriksaan keamanan trs, pdahal jaringan bagus",1
"Perbaiki lagi dong sistem aplikasinya, bobrok banget ini, masa stuck di ""mari lakukan pemeriksaan"", walaupun uda ganti jaringan tetep aja ga tembus!",1
Ok,5
"linkedin saya stuck di halaman pemeriksaan keamanan cepat, sudah saya coba berkali kali masih tidak berhasil, saya buat laporan ke website linkedin pas selesai di isi malah tidak bisa dikirim, tolong dari pihak Linkedin untuk segera di perbaiki, fitur ""Pemeriksaan Kemanan Cepat"" sangat buruk, mengganggu, lama, tidak dapat digunakan, tolong segera perbaiki apakah ini bug atau semacamnya",1
ga bisa log in atau buat akun lagi...stuck di mari lakukan pemeriksaan keamanan cepat!!!,1
"Kok tiba"" tidak mau masuk",2
"Susah connect Rewel..mint password...kyak mau njolong di.atm...gevaarlijk zeg Ben jij lkdin/ link edan Ben ,jij???",3
Sangat butuh dengan aplikasi ini tapi selalu buffering tidak bisa login terus...,1
"Cepet lahh weh di benerinnn, buffering mulu ini udah seminggu lebih",1
Aplikasi yang sangat membantu dalam mengembangkan karier.,5
ga jelas aplikasinya ga bisa login mentok di keamanan muter-muter mulu hadehhh,1
"Tidak bisa membuat akun,selalu gagal saat mencoba login menggunakan google atau sejenisnya, saat membuat akun dan mau verifikasi, verifikasi tidak pernah muncul dan selalu eror Mohon ini masih tidak bisa membuat akun,astaga udah 2 Minggu masih belum bisa bikin akun, kode tidak terkirim padahal no sudah benar, captcha gak muncul muncul,ini developer tolong perbaiki Tolong perbaiki ini sudah 7 bulan tidak diperbaiki captcha nya, tolong",1
Very helpful power and New jobs 🫶🏾🫶🏾🫶🏾🫶🏾,5
Nice,3
"Jelek, gk bisa login",1
Gk jelass aplikasi bloon,1
"Pemeriksaan keamanan cepat eror, saya jadi tidak bisa login",1
"ko ga bisa login sih, dari tadi ""mari lakukan pemeriksaan keamanan cepat"" terus aneh.",1
"Gabisa buat login, cuma stuck di layar utama",1
Manfaat tuk berbagi multi disiplin menjadi orkestrasi pengetahuan dunia.,5
Sangat baik,5
Tidak mau login,1
"halo, kenapa bagian pengalaman sukarela, bahasa, sertifikasi, pendidikan SMA, penghargaan dan proyek? Tolong bantu saya, Terima kasih",3
Susah masuk,1
Oke,5
Kenapa login nya susah sekali,1
Fitur Mari pemeriksaan cepat mohon diperbaiki karena aplikasi stuck setelah memasuki fitur tersebut.,1
More than 1 Million people use it. It Will be great.,5
Bagus aplikasinya sangat membatu,4
"Akun saya tiba tiba log out sendiri, ketika mau login kembali selalu stuck di halaman Mari Lakukan Pemeriksaan Dengan Cepat. Muter muter terus, lalu error, sudah ganti ke WIFI yang cepat pun masih sama, error terus. Tolong diperbaiki, padahal bagus sekali aplikasinya, saya dapat pekerjaan pun selama ini lewat LinkedIn tanpa harus melamar ke HR. Tolong diperbaiki, saya ingin akun saya kembali. Terimakasih.",1
Kenapa tidak bisa login?,3
Good 👍,5
Kenapa aplikasi ini di paksa perusahaan yg sudah di tentukan pihak LinkedIn sedangkan perusahaan yg di tentukan perusaan luar negeri semua.,1
Aplikasi ini sangat membantu saya untuk mencari pekerjaan,5
Good app,5
Good,5
Bagus,5
"Hello linked, knp hlmn linked tdk menyngknan semua lembran.",5
Terlalu lama pemeriksaan keamanan gua baru dwonlod lama anjir,2
Kenapa punya aku ga bisa di instal min,1
login susah banget,1
"Kecewa habisa login, stuck disitu situ aja",1
Berhenti terus,5
"buruk, udah daftar melalui FB, email atau google tetep aja gak bisa. nunggu juga belum ada perubahan dan tetep aja masih ngestak disana. malah ngarahin ke web lain. mohon di perbaiki lagi aja, kalau sekiranya berfungsi",3
Aplikasi yg bagus,4
Gak guna,1
"Saya pengguna lama linkedln, tapi setelah update saya tidak bisa login ke akun saya. Mohon kepada developer untuk segera memperbaiki aplikasi linkedln ini",1
Aplikasi rusak gak bisa login malah ada tulisan mari lakukan pemeriksaan cepat loading lama banget ditunggu lama tetap sama aja muter2 mulu,1
Susah bgt login 😡 bolak balik situs eror lah kode verifikasi pun ga muncul² padahal sinyal bagus (lewat pesan/telpon) mulai dari sinyal kartu hp smpe sinyal wifi aman² aja masih aja gabisa login,2
Terbaik 👏👍,5
kenpa ngebug ya kak tolong perbaiki,2
Mantap,5
Sangat bermanfaat,5
"Kecewa akun saya yg dl usee sejak 2011 dg follower 19 K di ambil alih org dan ga bisa balik, pdhl udh verifikasi 2 langkah. Eh bikin baru lagi merintis lagi sejak awal. Udh 3 th skrg malah ga bisa dibuka. Katanya apk tdk mendukung di perangkat dan suruh hubungi developer. Gmn sih?",1
Loker untuk sopir B1 masih ada,4
"Masalah ""pemeriksaan keamanan cepat"" ga bisa login sama sekali tolong apknya di perbaiki",1
"Pengalaman yang cukup bagus dengan aplikasi ini, Terima Kasih.",5
"pengalaman terburuk bagi saya menggunakan aplikasi ini, developer belajar lagi ya!",1
Goodluck,5
Menyenangkan,5
Sampah tidak bisa login,1
daptar pakai ktp dulu. eh malah keluar gk bisa lagi masuk.. pripikasi sama ktp tetap aja gk bisa masuk lagi. aplikasi gk guna. moga aja data di dlm gk di salah gunakan orang..,2
👍👍,5
"saya sudah 4 kali instal dan uninstall LinkedIn, tapi tetap tidak bisa bergabung, ataupun login, kalau masalah jaringan, jaringan saya baik-baik saja, tolong di perbaiki dong LinkedIn ya",2
Demi Allah sumpah ga jelas linked in tbtb ngambil uang orang 1.116.058 sumpahhhhh.,1
Bagus untuk orang yang sedang mencari pekerjaan,5
Smoga bermanfaat pastinya,5
saya sudah coba berkali kali tetap aja susah masuk atau login nya,3
"woy linkedin, kok gbisa login gmn sih ini",1
Susah login,1
Saya tidak sengaja melakukan pembayaran premium melalui google play. Saya mohon kembalikan uang saya🙏🏻,1
"Sumpah susah bnget masuk nya, padahal akunya udah di buat, tapi ga mau masuk ga tau kenapa. Aneh",1
Good,5
Sama seperti yang lain. Ga bisa login!,1
Banyak mendapatkan informasi positif,4
Dari dulu gak pernah di perbaiki halaman login nya Selalu saja stuck di Pemeriksaan keamanan cepat Di tunggu sampe setengah hari pun percuma loading terus Tolong diperhatikan login saja sangat susah padahal jadi andalan ini aplikasi,1
"Semoga gw dapet kerjaan jir ,cape nganggur 10 tahun",5
"Ini kenapa akun saya tiba"" Keluar? Terus gak bisa login inii, tolong dong ini gimana caranyaaa, udh coba cara ini itu tpi tetap gak bisa",1
Okeh,5
sangat baik digunakan,5
"Reset Password gagal terus, page not found",1
gbsa daftar akun.stuk di pemeriksaan,1
"mau log-in nya susah banget nge loading terus, sampe di tinggal solat pun ga kelar² prosesnya, padahal dulu ga gini",1
"saya ingin membuat lowongan pekerjaan tapi gagal Mulu kalo mode hp, tolong benerin dong pihak LinkedIn biar bisa posting loker lewat hp/mobile",3
"Baru daftar 1 hari besoknya tidak bisa login berhenti di status ""Mari lakukan pemeriksaan cepat"" Begitu terus tidak bisa login.",2
Akun sudah ada,5
Oke,5
Saya belum mengerti dengan aplikasi ini mohon bantuannya dan bimbingan nya ia kk,5
Mantap sesuai harapa saya,5
Akun saya tidak bisa terbuka kembali,1
Mantap,5
Bagus sekali,5
Ok,5
"Ke Log-out terus. Pas mau login lagi akunnya malah ilang. Bukan hanya saya, beberapa teman saya juga mengalami hal serupa. Sulit login dan sulit buat akun lagi. Tidak ramah. 😔",1
Sangat banyak manfaatnya dan sangat informatif dibanyak aspek.Terimakasih,5
parah gag bisa login sama sekali,1
Gabisa login,1
Awesome,5
Good aplication,5
Semoga tetap baik adanya,5
Nice,5
Ok,5
"sangat kecewa dengan LinkedIn. saya merasa tidak berlangganan premium sama sekali, tiba2 saldo di aplikasi dana saya di ambil dengan nominal yang cukup besar Rp. 1.116.078. saya sudah mencoba ajukan claim dana untuk di refund, tapi di tolak.",1
Sangat berguna,5
Ok aplikasi,5
Ga bisa login,1
"buruk sekali, masalah mengenai pemeriksaan keamanan untuk login akun baru yang tidak diperbaiki dari dulu. apakah aplikasi LinkedIn memerlukan kecepatan diatas 10MBps untuk memuat captcha?",1
Bantu dong .punya saya tidak bisa login sama sekali,3
I got a lot of informations about how to teach structure well...,5
Good👍,5
"Kenapa ketika login selalu ""mari lakukan pemeriksaan keamanan lebih cepat"" Tolong perbaiki servernya",1
Bagus,5
"Apk yg sangat membantu untuk pencari kerja,loker yg jelas ,mudah utk melamar .",5
good for looking job around the world,5
Bagus,5
Professional aplication,5
Ini baiknya,5
"apa sih lakukan pemeriksaan dengan cepat maksudnya, akun kehapus karena udah lama ga buka linkedn tiba tiba log out aja. aneh banget sekarang",1
Login nya susah! loading pemeriksaan nya lama sekali.,1
terverikasi ok app nya,5
"Every thing, is OK",5
"aplikasi nya luar biasa trimakasih sudah membuatnya, saya menggunakan aplikasi ini untuk keperluan mencari pekerjaan di Jawa, doakan saya semoga saya cepat dapat kerja, saya sudah menganggur 2 tahun, aplikasi ini sangat bermanfaat berguna bagi semua manusia, tapi masih banyak manusia yang belum tahu tentang aplikasi ini",5
Sulit login sulit daftar.,1
Sangat membantu saya untuk mencari pekerjaan,5
Info2 yg diberioan sangat membantu,5
"Kenapa jadi sulit login ya, mohon perawatan nya.",1
Worth to have and utilize this application on my daily basis. Very helpful to connect with executive people.,5
Ok,5
Sangat membantu,5
Ok,3
"Ini gimana ceritanya gak bisa login, verifikasi captcha selalu gagal dan muter-muter ""Mari lakukan pemeriksaan keamanan cepat"". Gak di aplikasi atau di browser PC tetap aja sama.",1
Good idea,5
Lelet banget!!!,2
Bagus,5
Linkedin sekarang login gagal terus.padahal koneksi bagus.,1
Mantap,5
"Perbaiki lagi keamanan Linkedin buruk sekali, akun saya tiba tiba diambil alih oleh seseorang dan semua kontennya diganti tanpa ada notifikasi apapun namun masih bisa diakses. Setelah itu saya ganti password dan aktifkan verifikasi 2 langkah namun sekarang malah tidak bisa login sama sekali karena fitur ""Mari Lakukan Pemeriksaan Keamanan Cepat"" saat akan melakukan login loading terus, tolong segera diperbaiki",1
"Platform yang sangat baik, menghubungkan orang orang yang profesional dan berpengalaman selain itu bagi newbie bsa mendapat pengalaman baru dalam hal berkomunikasi bisnis atau sosial",5
"Too many ads, annoying",1
"Kenapa saya tidak dapat login? Bahkan saat saya mencoba membuat akun baru itu tidak berubah sama sekali, hanya ada halaman ""pemeriksaan keamanan dengan cepat"" tapi tidak selesai loading",1
Linkedinku mendadak logout sendiri dan sekarang mau login pemeriksaan keamanan dengan loading terlama. Aplikasi sampah,1
Kenapa akun.linkediin ku mudah kena hack tolong perbaiki algoritmanya terimakasih,1
Sangat bermanfaat buat pencari kerja,5
Gabisa masuk gajelass verifikasi ampe poto sim ktp gabisa aplikasi gajelass ppek,1
Ok bgt!,5
Màntàp,5
bermanfaat utk bisnis,5
Baik skli,5
cant login. keep reloading,1
Good apps,5
Nice,5
Kenapa susah sekali buat daftar di linked ini,5
Mendapt pengalaman,1
Memberikan informasi di dunia kerja,5
"Tidak bisa masuk, hanya sampai pemeriksaan keamanan cepat, mohon segera di perbaiki !",1
"Aplikasi paling ribet, gak jelas, gampangan ngari kerja di glints, lebih simpel, coba dong ubah seperti app glint",1
buat login aja susah bgt anjj,1
Sangat membantu,5
"Tolong kembalikan uang saya, itu uang setoran",1
MOHON CUKUP DIMUAT LOKER YANG TIDAK KADALUWARSA,5
Saya tidak dapat masuk ngestuck,1
Bagus dan inovatif,5
Sangat membantu untuk mencari kerja,5
Terbaik✔️,5
Bagus,5
Bagus,5
Good,5
Sangat berguna,5
good information,5
Mohon bantuannya aplikasi LinkedIn saya tiba-tiba tidak bisa di kebuka,1
"Mohon dana saya di kembalikan, tiba"" berlangganan tanpa sepengatahuan saya. 540k",1
Aplikasi Elegan,5
Linkedin. Bagus,5
jangan di download bufferingnya kelewatan,1
Usefull!,5
Kereen,5
"Durasi yang diperlukan untuk login sangat sangat lama. Membuang banyak waktu dan kesabaran, padahal sedang dibutuhkan segera.",1
buat masuk daftar aja susah muter2 terus gak jelas Padahal pake jaringan wifi,1
Amazing,5
"Ini kenapa dengan linkedin ngga bisa masuk"" stuck di pemerikasaan keamanan",1
"Hampir 10 tahun lebih saya menggunakan app ini...bertemu dengan orang"" profesional dibidangnya",5
"Login smpe 10x lebih ga bisa, tolong perbaiki lah. Login malem ga bisa pagi ga bisa siang ga bisa. Apk gajelas",1
"Mau verifikasi aja belibet libet wak, di sodorin terus verifikasi profile anda tapi fitur verifikasinya Jelek sekali.",1
Baru pertama mau nyoba,3
Ga bisa masuk ga tau kenapa,1
Bagus,5
BARU DOWNLOAD DAN MAU LOGIN MALAH GABISAAAA!!!!,1
sangat membantu,5
Aku puas,5
apk bosok,1
loginnya susah betuul. pas udah bisa login tau2 besoknya logout. mau login lagi gak bisa.,2
"padahal udah update, kok masih ga bisa login ya🥲",2
"Akun saya susah login, kalau mau pengecekan keamanan juga loading nya lama.",1
Bagus,5
Daftar berkali-kali gk bisa2 aneh,1
Very good apps,5
"dua kali akun ku ke ban sendiriii, tiap mau bikin aku cuman muncul mari lakukan pemeriksaan cepat, tolong ini gimana mengatasinya?",2
"""Mari lakukan pemeriksaan cepat"" What the hell with that words ?!",1
Lama banget proses untuk login nya🥲,1
"mantap, sangat membantu",5
"kayaknya emg sengaja mo bikin banyak pengangguran, soalnya gajelas banget gw dari kmarin mo buat akun sibuk login keamanan trus gagal terus, the best lorang bubar aja ni aplikasi",1
Udh rusak developer nya. Ga bisa login dari kapan tau belum di fix,1
Goood,5
Sangat bagus sekali,5
Mantap dan terbaik,5
mantab,5
Tidak bisa login muter muter terus,1
"kenapa akun saya beberapa tiba tiba harus verifikasi captcha? mana nunggu nya sampe berjam jam tapi gabisa masuk gagal terus ngulang gitu terus, captcha nya ggda cuma muter muter di tulisan : mari lakukan pemeriksaan keamanan dengan cepat",1
ga bisa login,1
applikasi sampah. ga bisa log in !,1
Tolong di tindaklanjuti ini saya ga bisa login 😞,1
Saya mendapatkan kerja dibawah pimpinan Presiden,5
Saya login sangat susah sekali cumak muter aja,1
ok,5
"ini akun saya udh berkali2 ke ban ditambah skrng setiap saya login tulisannya ""mari pemeriksaan cepat"" Maksudnya apa coba udh ditunggu berjam2 gabisa pas udh selesai malah halaman tidak tersedia, sistemnya dibenerin dong, bermasalah mulu dah",1
Mantap lowkernya,5
"Susah banget daftarnya, app gajelas!",1
good,5
Baik,5
"GAK BISA LOGIN! PADAHAL TEMANKU BISA, KENAPA AKU HARUS SCAN + FOTO DIRIKU DAN FOTO KTP? KENAPA TEMANKU TIDAK PADAHAL INI PENTING!",1
Kenapa mendaftar susah sekali login nya,1
loading lama tapi masih tetap gak bisa masuk,1
"Apaan ini jelek bgt aplikasinya, udh 2 minggu mau login gabisa katanya pemeriksaan keamanan cepat, tapi ga masuk² Aneh. Banyak yg komplain tp gaada tindak lanjut, gimana ini woi. Butuh kerjaan ini!!",1
"saya sebelumnya sudah pernah membuat akun linked in menggunakan gmail ini tetapi saat itu belum saya gunakan jadi profilenya masih kosong lalu, tidak lama saya menghapus akun saya tersebut secara permanen. kemarin saya baru saja membuat akun linked in kembali dengan gmail yang sama semua berjalan lancar tidak ada masalah. sekarang tiba-tiba saya tidak bisa masuk ke akun saya, 'mari lakukan pemeriksaan keamanan dengan cepat' hanya berhenti disitu saya mohon pencerahannya developer. Terima Kasih.",1
Terima kasih sudah hadir,5
Sudah cukup bintang 3 krn kerja juga belum dapat sdh 7 bln tiarap di rumah,3
Susah login,2
"permisi saya ingin mengajukan protes saya terhadap linkedin, saya sudah contact support dll namun tidak memberikan respon yang membantu, akun saya terkena resticted dengan alasan yang tidak jelas, padahal saya tidak melakukan aktivitas terlarang?? respon yang diberikan kurang membantu dan saya ingin akun saya dapat dikembalikan, tolong berikan aku contact support linkedin mengenai akun saya",1
Ini kenapa akunku tiba-tiba hilang sih. Ga jelas banget. Kemarin habis kena hack.Kocak linkedin,1
Baik sekali,4
"Susah betul mau login di apk ini , loading nya lelet lagi",1
baik,5
Mengapa selalu susah loginnyaaa:)),1
"Susah login Tolong ,Pemeriksaan Keamanan terus..",1
Tidak bisa di buka setelah di perbaharui jaringan juga bagus,1
Pemeriksaan keamanan terlalu lama,1
"Gabisa login, gajelas. Udah bikin email baru ttp aja loading doang.",1
Kenapa mau buka aplikasi aja verifikasinya lama banget? Udah berharap banyak loh padahal dengan aplikasi ini.,2
"Aplikasi yang kalau login perlu buat akun baru mulu. Login ke akun sebelumnya perlu verifikasi keamanan hingga 1 jam tetap ga bisa""",1
Ga bisa login,1
Ok good,5
